YYYY-MM-DD,hh:mm, Value
2010-01-01,--:--,     22.010
2010-01-02,--:--,     21.960
2010-01-03,--:--,     21.830
2010-01-04,--:--,     21.920
2010-01-05,--:--,     21.640
2010-01-06,--:--,     21.570
2010-01-07,--:--,     21.360
2010-01-08,--:--,     21.440
2010-01-09,--:--,     21.290
2010-01-10,--:--,     21.180
2010-01-11,--:--,     21.730
2010-01-12,--:--,     21.380
2010-01-13,--:--,     21.460
2010-01-14,--:--,     21.000
2010-01-15,--:--,     21.020
2010-01-16,--:--,     21.060
2010-01-17,--:--,     21.430
2010-01-18,--:--,     21.430
2010-01-19,--:--,     21.180
2010-01-20,--:--,     21.270
2010-01-21,--:--,     22.780
2010-01-22,--:--,     23.900
2010-01-23,--:--,     23.980
2010-01-24,--:--,     23.680
2010-01-25,--:--,     22.910
2010-01-26,--:--,     23.510
2010-01-27,--:--,     23.440
2010-01-28,--:--,     24.170
2010-01-29,--:--,     23.420
2010-01-30,--:--,     23.450
2010-01-31,--:--,     24.750
2010-02-01,--:--,     28.500
2010-02-02,--:--,     26.990
2010-02-03,--:--,     25.140
2010-02-04,--:--,     24.880
2010-02-05,--:--,     24.540
2010-02-06,--:--,     24.280
2010-02-07,--:--,     24.080
2010-02-08,--:--,     23.700
2010-02-09,--:--,     23.510
2010-02-10,--:--,     23.190
2010-02-11,--:--,     23.250
2010-02-12,--:--,     23.310
2010-02-13,--:--,     23.250
2010-02-14,--:--,     23.080
2010-02-15,--:--,     23.150
2010-02-16,--:--,     23.460
2010-02-17,--:--,     23.560
2010-02-18,--:--,     23.450
2010-02-19,--:--,     23.270
2010-02-20,--:--,     22.890
2010-02-21,--:--,     22.870
2010-02-22,--:--,     22.600
2010-02-23,--:--,     22.380
2010-02-24,--:--,     22.180
2010-02-25,--:--,     22.690
2010-02-26,--:--,     23.210
2010-02-27,--:--,     22.540
2010-02-28,--:--,     22.640
2010-03-01,--:--,     22.180
2010-03-02,--:--,     22.430
2010-03-03,--:--,     21.910
2010-03-04,--:--,     22.150
2010-03-05,--:--,     21.690
2010-03-06,--:--,     21.650
2010-03-07,--:--,     21.500
2010-03-08,--:--,     21.290
2010-03-09,--:--,     21.110
2010-03-10,--:--,     20.950
2010-03-11,--:--,     20.910
2010-03-12,--:--,     20.600
2010-03-13,--:--,     20.740
2010-03-14,--:--,     20.450
2010-03-15,--:--,     20.310
2010-03-16,--:--,     20.340
2010-03-17,--:--,     20.300
2010-03-18,--:--,     20.160
2010-03-19,--:--,     20.080
2010-03-20,--:--,     20.240
2010-03-21,--:--,     19.980
2010-03-22,--:--,     19.960
2010-03-23,--:--,     19.980
2010-03-24,--:--,     20.190
2010-03-25,--:--,     20.850
2010-03-26,--:--,     20.470
2010-03-27,--:--,     20.340
2010-03-28,--:--,     20.160
2010-03-29,--:--,     20.060
2010-03-30,--:--,     19.890
2010-03-31,--:--,     19.870
2010-04-01,--:--,     19.840
2010-04-02,--:--,     19.850
2010-04-03,--:--,     19.890
2010-04-04,--:--,     19.980
2010-04-05,--:--,     19.940
2010-04-06,--:--,     20.520
2010-04-07,--:--,     22.170
2010-04-08,--:--,     20.890
2010-04-09,--:--,     20.720
2010-04-10,--:--,     20.590
2010-04-11,--:--,     20.450
2010-04-12,--:--,     20.520
2010-04-13,--:--,     20.470
2010-04-14,--:--,     21.350
2010-04-15,--:--,     20.850
2010-04-16,--:--,     20.660
2010-04-17,--:--,     20.320
2010-04-18,--:--,     20.470
2010-04-19,--:--,     20.310
2010-04-20,--:--,     20.420
2010-04-21,--:--,     20.130
2010-04-22,--:--,     20.180
2010-04-23,--:--,     20.160
2010-04-24,--:--,     20.130
2010-04-25,--:--,     19.980
2010-04-26,--:--,     20.090
2010-04-27,--:--,     20.630
2010-04-28,--:--,     21.690
2010-04-29,--:--,     20.720
2010-04-30,--:--,     20.570
2010-05-01,--:--,     20.800
2010-05-02,--:--,     20.550
2010-05-03,--:--,     20.370
2010-05-04,--:--,     20.410
2010-05-05,--:--,     20.130
2010-05-06,--:--,     20.030
2010-05-07,--:--,     20.090
2010-05-08,--:--,     20.040
2010-05-09,--:--,     20.030
2010-05-10,--:--,     19.900
2010-05-11,--:--,     19.990
2010-05-12,--:--,     20.000
2010-05-13,--:--,     24.350
2010-05-14,--:--,     22.850
2010-05-15,--:--,     23.950
2010-05-16,--:--,     25.330
2010-05-17,--:--,     23.480
2010-05-18,--:--,     22.980
2010-05-19,--:--,     22.640
2010-05-20,--:--,     22.430
2010-05-21,--:--,     23.440
2010-05-22,--:--,     22.770
2010-05-23,--:--,     22.470
2010-05-24,--:--,     32.930
2010-05-25,--:--,     49.000
2010-05-26,--:--,     37.210
2010-05-27,--:--,     32.250
2010-05-28,--:--,     32.190
2010-05-29,--:--,     31.170
2010-05-30,--:--,     29.570
2010-05-31,--:--,     28.610
2010-06-01,--:--,     30.380
2010-06-02,--:--,     32.900
2010-06-03,--:--,     29.450
2010-06-04,--:--,     28.440
2010-06-05,--:--,     27.910
2010-06-06,--:--,     33.890
2010-06-07,--:--,     40.450
2010-06-08,--:--,     35.100
2010-06-09,--:--,     33.260
2010-06-10,--:--,     31.830
2010-06-11,--:--,     34.510
2010-06-12,--:--,     33.800
2010-06-13,--:--,     32.560
2010-06-14,--:--,     31.690
